,Sentence,Tags,Extracted Sentences,Extracted Tags
325,I think tom had an allergic reaction to something he ate yesterday. He has a rash on his thigh and it doesn’t look good at all,skin rash,"['he has a rash on his thigh', 'allergic reaction', 'tom had an allergic reaction to something he ate yesterday.', 'it doesn’t look good at all']","{'skin rash': 0.8556901216506958, 'hiccups': 0.13124658167362213, 'mood change': 0.12365344166755676, 'body pain': 0.10449700802564621}"
338,"tom fell over while we walked outside today and started bleeding a lot. We were able to get a bandaid on fast, but he got pretty bruised and hurt",bleeding,"['he got pretty bruised and hurt', 'we were able to get a bandaid on fast,', 'tom fell over while we walked outside today and started bleeding a lot.', 'bleeding', 'a lot.']","{'bleeding': 0.8028420805931091, 'body pain': 0.7255669236183167, 'hiccups': 0.2003840208053589}"
446,Headaches headaches headaches. I really hope the new medication kicks in soon and can help reduce these headaches because they're really taking a toll on my kid. They can't do much of anything when their head is hurting so much!,headache,"[""they can't do much of anything when their head is hurting so much!"", 'headaches headaches headaches.']","{'headache': 0.533177375793457, 'body pain': 0.41061124205589294, 'fatigue': 0.13885873556137085}"
185,tom seemed more stressed than usual this evening,anxiety,"['tom seemed more stressed than usual', 'tom seemed more stressed', 'tom']","{'mood change': 0.4950563311576843, 'anxiety': 0.11227308958768845}"
452,"You know, every day is such a different experience that I hadn't even thought of what symptoms were present yet today. Let's see. Hmmm I think no wait that was yesterday. What even went on today? Oh right! There was that bought of headaches right after breakfast that lasted about 30 minutes. I didn't really think much of them after though since they were so mild and the kid really seemed fine afterwards. I guess in terms of symptoms that's probably it for today.",headache,"['they were so mild and the kid really seemed fine afterwards.', 'the kid really seemed fine afterwards.', 'they were so mild', 'there was that bought of headaches right after breakfast', 'headaches']","{'headache': 0.4680868685245514, 'body pain': 0.31197303533554077, 'mood change': 0.273258239030838, 'hiccups': 0.2008192390203476, 'dilated pupils': 0.15241560339927673}"
403,Nothing out of the ordinary today. They had their typical spell of exhaustion leading up to the first seizure today. Same thing before another one earlier tonight.,fatigue,"['they had their typical spell of exhaustion', 'exhaustion']","{'fatigue': 0.714635968208313, 'lack of sleep': 0.4437222182750702}"
79,The diarrhea just hasn't stopped as yet I went to the bathroom for a third time and honestly I'm exhausted at this point,diarrhea,"[""the diarrhea just hasn't stopped"", 'i went to the bathroom for a third time', 'exhausted', 'the diarrhea', 'i went to the bathroom']","{'diarrhea': 0.7074578404426575, 'fatigue': 0.4752483665943146, 'lack of sleep': 0.3261561989784241, 'hiccups': 0.21725121140480042, 'mood change': 0.20076541602611542, 'poor coordination': 0.13384480774402618, 'lack of concentration': 0.10112975537776947}"
360,"I experienced hiccups while holding breath and sneezed in unison; funny but true. After that instance, I felt a
chest pain in my sternum rating a 5/10 scale. That’s how bad it was. My hiccups were relieved by the way.","hiccups, body pain","['chest pain in my sternum rating a 5/10 scale.', 'hiccups', 'my hiccups were relieved', 'while holding breath and sneezed in unison;', 'my hiccups were relieved by the way.']","{'body pain': 0.9233034253120422, 'hiccups': 0.6916564106941223, 'cough': 0.24828676879405975, 'poor coordination': 0.12478921562433243, 'dilated pupils': 0.10146575421094894, 'lack of concentration': 0.10054465383291245}"
236,robs been having nightmares for the past few nights so I don’t think he's slept well,lack of sleep,"['nightmares', 'robs been having nightmares', ""he's slept well""]","{'mood change': 0.33634403347969055, 'lack of sleep': 0.23221226036548615, 'dilated pupils': 0.21590735018253326, 'fatigue': 0.1268504410982132, 'anxiety': 0.1232537254691124, 'racing heart': 0.10687462985515594}"
65,"I feel very foggy headed, irritable, nauseated and in some cases, the headache pain is so excruciating, it is frightening",headache,"['headache', 'headache pain', 'headache pain is so excruciating,', 'foggy headed, irritable, nauseated', 'the headache pain is so excruciating,']","{'headache': 0.8978466391563416, 'mood change': 0.32161417603492737, 'body pain': 0.3007994294166565, 'fatigue': 0.19745802879333496, 'dizziness': 0.1258610635995865, 'hiccups': 0.12272945046424866, 'lack of concentration': 0.12130442261695862}"
262,I woke up this morning with an itch in my throat,sore throat,"['itch', 'itch in my throat', 'an itch in my throat']","{'body pain': 0.5733678936958313, 'hiccups': 0.33402886986732483, 'sore throat': 0.2942018210887909, 'dizziness': 0.1729690134525299, 'fever': 0.15822407603263855}"
313,Lily started experiencing palpitations again this evening. She bent over to pick something up and that’s when they started,racing heart,"['palpitations', 'lily started experiencing palpitations again this evening.', 'lily started experiencing palpitations', 'she bent over to pick something up', 'lily']","{'racing heart': 0.745690643787384, 'poor coordination': 0.5596405863761902, 'dilated pupils': 0.28277361392974854, 'mood change': 0.18702106177806854, 'body pain': 0.10891242325305939}"
94,I played football last night and when I woke up this morning my legs were really aching and I was just feeling so tired so I tried to wake myself up by taking a cold shower,"body pain, fatigue",['my legs were really aching'],{'body pain': 0.7360072731971741}
444,Most of the day was going well but then around dinner time they started developing headaches. Nothing too intense but not quite mild either.,headache,"['nothing too intense but not quite mild', 'headaches.', 'around dinner time they started developing headaches.']","{'headache': 0.7160828709602356, 'body pain': 0.2686666250228882, 'hiccups': 0.1875409334897995, 'mood change': 0.1552593857049942}"
284,robs cough seems to be hurting his throat as well now. He has lots of mucus in his cough and his throat is in pain,"sore throat, cough","['he has lots of mucus in his cough', 'robs cough seems to be hurting his throat as well now.', 'his throat is in pain', 'he has lots of mucus', 'robs', 'mucus']","{'sore throat': 0.778648316860199, 'congestion': 0.48015540838241577, 'cough': 0.45123597979545593, 'hiccups': 0.17903661727905273, 'body pain': 0.13931910693645477, 'poor coordination': 0.12932446599006653, 'mood change': 0.10736895352602005}"
362,"I've had hiccups on and off for at least 12 to 18 hours now. They come for about an hour or two and then leave,
but continue to return. I'm in bed now and they've just gone away, I'm hoping they don’t interfere with my sleep now",hiccups,"['hiccups on and off for at least 12 to 18 hours now.', ""they've just gone away,"", 'hiccups', 'they come for about an hour or two and then leave,', ""i'm in bed now and they've just gone away,"", 'on and off for at least 12 to 18 hours now.']","{'hiccups': 0.7099084258079529, 'mood change': 0.26851949095726013, 'cough': 0.24828676879405975, 'lack of sleep': 0.17171786725521088, 'poor coordination': 0.1629795879125595, 'lack of concentration': 0.12091723084449768, 'fatigue': 0.10019946843385696}"
341,"charlie was coughing a lot earlier today and it wasn’t just mucus coming out, there was blood too","cough, bleeding, congestion","['there was blood too', 'coughing', 'charlie was coughing', 'charlie was coughing a lot earlier today', 'it wasn’t just mucus coming out, there was blood too', 'there was blood']","{'bleeding': 0.8953242301940918, 'cough': 0.403377890586853, 'hiccups': 0.3644566237926483, 'sore throat': 0.26676395535469055}"
160,this evening rileys right leg seemed to be cramping up a lot after he took a shower,body pain,"['shower', 'rileys right leg', 'he took a shower', 'a shower', 'rileys right leg seemed to be cramping up a lot']","{'mood change': 0.3820752501487732, 'body pain': 0.3493119180202484, 'hiccups': 0.30563637614250183, 'poor coordination': 0.12650157511234283, 'dilated pupils': 0.11721110343933105, 'appetite change': 0.11611045897006989}"
376,I randomly hiccup or have loud hiccup-like burps usually two or three at a time for no reason,hiccups,"['loud hiccup-like burps', 'no reason', 'randomly', 'randomly hiccup', 'hiccup']","{'hiccups': 0.6321886777877808, 'cough': 0.27559566497802734, 'headache': 0.24796679615974426, 'poor coordination': 0.23903851211071014, 'lack of concentration': 0.14780402183532715}"
41,I don’t know why this fever has lasted seven days but I still have it and I still cant taste anything,fever,"['i still cant taste anything', 'taste anything', 'i still have it and i still cant taste anything', 'i still have it', 'still have it']","{'appetite change': 0.19674383103847504, 'hiccups': 0.17130854725837708, 'body pain': 0.14700792729854584, 'skin rash': 0.13046444952487946, 'sore throat': 0.12378215044736862}"
165,tom seemed stressed this morning - jack and I have been fighting more than usual and I think its stresssing tom out,anxiety,"['stressed', 'tom seemed stressed', 'fighting', 'tom seemed stressed this morning - jack', 'jack and i have been fighting more than usual']","{'mood change': 0.45923179388046265, 'racing heart': 0.4134455621242523, 'fatigue': 0.3808659017086029, 'poor coordination': 0.2312043309211731, 'anxiety': 0.14186501502990723, 'hiccups': 0.13553114235401154}"
436,"The first half of the day was good with no symptoms observed. In the evening, they had a slight fever, but it began reducing again in the night. Nothing to worry about for now.",fever,"['they had a slight fever,', 'fever,', 'nothing to worry about for now.']","{'fever': 0.6068205833435059, 'racing heart': 0.21742649376392365, 'mood change': 0.15194302797317505, 'hiccups': 0.11662139743566513}"
317,It honestly feels like I am going to pass out and die when I get palpitations. It happened this afternoon and everything around me is like slow motion and I can feel my heart,racing heart,"['everything around me is like slow motion', 'it happened this afternoon and everything around me is like slow motion', 'it happened this afternoon', 'when i get palpitations.', 'everything around me is like slow motion and i can feel my heart']","{'racing heart': 0.7977678179740906, 'poor coordination': 0.2863500714302063, 'body pain': 0.22559629380702972, 'mood change': 0.15440866351127625, 'hiccups': 0.14457863569259644, 'lack of concentration': 0.12606118619441986}"
448,"They had some headaches here and there today but nothing major. Actually, they were feeling pretty good overall today. It was only really the headaches in the morning that were kind of bad. When I asked how bad it hurt they said it definitely was painful but not as bad as usual so I guess we can say they were moderate headaches.",headache,"['they had some headaches here and there today but nothing major.', 'nothing major.', 'headaches', 'they were feeling pretty good overall today.', 'they had some headaches']","{'mood change': 0.778028666973114, 'hiccups': 0.5766344666481018, 'body pain': 0.3109237849712372, 'headache': 0.2480323761701584}"
72,"The aura symptoms of a migraine make me extremely vulnerable and can be temporarily disabling.
Over the course of three or four hours (depending on the intensity of my attack) I experience a variety of neurological symptoms which include: visual disturbances, inability to speak, and loss of sensitivity on parts of your body such as your face, your arms and your hands.",headache,"['aura symptoms', 'temporarily disabling.', 'aura symptoms of a migraine make me extremely vulnerable', 'aura symptoms of a migraine', 'i experience a variety of neurological symptoms', 'visual disturbances, inability to speak,', 'visual disturbances,', 'the aura symptoms of a migraine make me extremely vulnerable', 'inability to speak,', 'loss of sensitivity on parts of your body', 'vulnerable and can be temporarily disabling.', 'over the course of three or four hours', 'a variety of neurological symptoms']","{'headache': 0.7293011546134949, 'hiccups': 0.24121306836605072, 'body pain': 0.23073934018611908, 'anxiety': 0.22881434857845306, 'poor coordination': 0.20911136269569397, 'lack of concentration': 0.1811191737651825, 'fever': 0.17277583479881287, 'mood change': 0.15150251984596252, 'dilated pupils': 0.12072248011827469}"
418,"Another day, another attempt at symptom tracking. Let's see, today I think the only one I can think of is fatigue. They were feeling moderately low energy for most of the day starting around 3 pm. It was maybe about 30 minutes later when had a seizure and then they were pretty exhausted for the rest of the day. They seemed pretty bummed so I got some of their favorite ice cream to help cheer them up a little and hopefully bring back some energy. Just like any other kid, they had a spike in energy from the sugar for maybe 10 minutes and then got so tired they went to sleep. I'll be sure they brush their teeth before it's their actual bed time.",fatigue,"['moderately low energy', 'fatigue.', 'tired they went to sleep.', 'they seemed pretty bummed', 'got so tired they went to sleep.', 'they were feeling moderately low energy', 'seizure', 'it was maybe about 30 minutes later when had a seizure']","{'fatigue': 0.5160906314849854, 'mood change': 0.5033268332481384, 'lack of sleep': 0.30067139863967896, 'dilated pupils': 0.24393633008003235, 'hiccups': 0.1500500589609146, 'lack of concentration': 0.13753430545330048, 'fever': 0.11395452916622162, 'poor coordination': 0.1116546168923378}"
90,Mum and dad were going for lunch and I wanted to go out with them I really did but I just felt like I had no energy to do it,fatigue,"['no energy', 'no energy to do it', 'lunch', 'mum and dad were going for lunch', 'i just felt like i had no energy to do it']","{'appetite change': 0.5595961213111877, 'fatigue': 0.48716625571250916, 'mood change': 0.18493612110614777, 'poor coordination': 0.10385157912969589, 'hiccups': 0.10219934582710266}"
252,the sleep medication that ericas doctor provided helped last night which gives me some relief. She's had a cough today though,cough,"[""she's had a cough"", ""she's had a cough today"", 'cough']","{'cough': 0.37855827808380127, 'hiccups': 0.33430710434913635, 'sore throat': 0.3291712999343872, 'congestion': 0.11561286449432373}"
148,Aidan went for a short run but fell in the middle and couldn’t run any more because he said his leg was completely cramping up and he couldn’t move,body pain,['his leg was completely cramping up'],"{'body pain': 0.635551929473877, 'congestion': 0.1206379383802414}"
348,charlie had a nose bleed this afternoon for about 15 minutes,bleeding,"['charlie had a nose bleed this afternoon for about 15 minutes', 'charlie had a nose bleed', 'nose bleed', 'a nose bleed', 'nose']","{'bleeding': 0.9228260517120361, 'dilated pupils': 0.1916865110397339, 'poor coordination': 0.10262326151132584, 'mood change': 0.10157383978366852}"
282,lilys throat has slowly gotten worse through the day,sore throat,"['lilys', 'lilys throat has slowly gotten worse through the day', 'lilys throat', 'lilys throat has slowly gotten worse']","{'sore throat': 0.6336346864700317, 'dilated pupils': 0.34290605783462524, 'mood change': 0.16852866113185883, 'body pain': 0.11675773561000824}"
421,"It was a very hectic day. I had back to back office meetings scheduled. Then around four pm, I received a call from their school mentioning they have high fever, so I drove there immediately. I brought them back and gave them some medicine. They were not able to sleep for a long time, so I was just reading a story to them. They finally slept an hour ago. I feel very sorry for my child’s discomfort. I just hope tomorrow will be a better day with no fever. Alright, I need to go now and finish up on some work.",fever,"['i feel very sorry for my child’s discomfort.', 'it was a very hectic day.', 'high fever,', 'they finally slept an hour ago.', 'they have high fever,', 'they were not able to sleep for a long time,', 'they were not able to sleep']","{'fever': 0.7963814735412598, 'lack of sleep': 0.6454299092292786, 'congestion': 0.2336556315422058, 'mood change': 0.1564333587884903, 'fatigue': 0.12679888308048248, 'lack of concentration': 0.12503503262996674, 'racing heart': 0.10864885151386261, 'hiccups': 0.10126827657222748, 'body pain': 0.10004676133394241}"
113,"I have been diagnosed with acute sinusitis and given a prescription for nasal
steroid spray and an antibiotic, which I have been on for four days, still get symptoms on an off during the day. I have had symptoms for eight days.","congestion, headache","['nasal steroid spray', 'acute sinusitis', 'i have had symptoms for eight days.', 'i have been on for four days,', 'i have been diagnosed with acute sinusitis']","{'congestion': 0.46020257472991943, 'sore throat': 0.3526584804058075, 'body pain': 0.2844911515712738, 'fatigue': 0.13653528690338135, 'mood change': 0.11259705573320389}"
7,"I had a relatively calm few hours at the start of my day, until in the middle of my shift, when I leaned to my left side,
and turned my head a bit to the left, that I was aware of my heart rate. I sensed it through my throat. My heart rate was really fast.",racing heart,"['throat.', 'relatively calm few hours', 'i sensed it through my throat.', 'through my throat.', 'heart rate.', 'my heart rate was really fast.']","{'racing heart': 0.9123976826667786, 'mood change': 0.49288979172706604, 'sore throat': 0.3566749691963196, 'body pain': 0.18503345549106598, 'cough': 0.12196759134531021}"
301,Tom's cough is better but his throat still seems sore. His voice is deeper than usual and sometimes it hurts him to swallow,sore throat,"['his voice is deeper than usual', 'his throat still seems sore.', 'his voice is deeper than usual and sometimes it hurts him to swallow', ""tom's cough"", ""tom's cough is better but his throat still seems sore."", 'cough']","{'sore throat': 0.7057574391365051, 'mood change': 0.3685623109340668, 'cough': 0.30441394448280334, 'hiccups': 0.30251339077949524, 'body pain': 0.26399996876716614}"
286,my throat is so sore I cant really eat or swallow properly. But im exhausted and I need food so this sucks,"sore throat, fatigue","['im exhausted and i need food', 'food', 'my throat is so sore', 'exhausted and i need food', 'exhausted', 'my throat is so sore i cant really eat or swallow properly.']","{'sore throat': 0.7463685870170593, 'fatigue': 0.4752483665943146, 'appetite change': 0.41942235827445984, 'lack of sleep': 0.3261561989784241, 'body pain': 0.23141244053840637}"
27,"I started getting random nausea and started vomiting about 4 weeks ago and today I had it again. Sometimes
when a wave of nausea hits I start sweating. I usually vomit first thing in the morning and when I wake up from a nap. It is usually dry heaves if I do not drink something",vomiting,"['nausea', 'today i had it again.', 'a nap.', 'it is usually dry heaves', 'random nausea', 'random nausea and started vomiting about 4 weeks ago', 'vomiting about 4 weeks ago', 'vomiting', 'sweating.', 'sometimes when a wave of nausea hits i start sweating.']","{'vomiting': 0.7808491587638855, 'lack of concentration': 0.4319564998149872, 'body pain': 0.2802593410015106, 'racing heart': 0.26194050908088684, 'fatigue': 0.2052544206380844, 'hiccups': 0.1989263892173767, 'appetite change': 0.1526016741991043, 'lack of sleep': 0.13869982957839966, 'mood change': 0.1267772912979126, 'poor coordination': 0.11658798903226852, 'dilated pupils': 0.10797873139381409}"
221,lilys chest pain lasted for one hour today and it made me worried because that’s longer than what it usually is,body pain,"['lilys chest pain lasted for one hour today', 'lilys', 'longer', 'lilys chest pain', 'chest pain']","{'body pain': 0.833706796169281, 'dilated pupils': 0.34290605783462524, 'mood change': 0.16852866113185883}"
334,there are some rashes and boils growing on charlies thigh. Its not worrying me too much right now but I need to monitor it,skin rash,"['not worrying me too much right now', 'i need to monitor it', 'rashes and boils', 'some rashes and boils growing on charlies thigh.', 'rashes and boils growing on charlies thigh.', 'charlies thigh.', 'there are some rashes and boils', 'its not worrying me too much right now', 'its not worrying me too much right now but i need to monitor it']","{'skin rash': 0.8581468462944031, 'body pain': 0.3365001380443573, 'mood change': 0.1942296028137207, 'hiccups': 0.18101203441619873}"
63,"The same migraine I had yesterday is still going on. I experience 10-15/20 migraines a month and
its so hard to have a life with all this- doing school, making friends, its all just so much harder",headache,"['its all just so much harder', 'harder', 'making friends, its all just so much harder', 'hard', 'i experience 10-15/20 migraines', '10-15/20 migraines']","{'headache': 0.8451690673828125, 'hiccups': 0.20864517986774445, 'fatigue': 0.12597902119159698, 'poor coordination': 0.10218285024166107}"
328,charlies been itching himself ever since we came back from the beach this evening. Maybe the sand or the humidity didn’t suit him too well. Well at least the cough he had yesterday is gone so thank god,skin rash,"['maybe the sand or the humidity', 'the cough he had yesterday', 'maybe the sand or the humidity didn’t suit him too well.', 'charlies been itching himself', 'cough']","{'cough': 0.48327872157096863, 'racing heart': 0.3918956518173218, 'sore throat': 0.3291712999343872, 'hiccups': 0.2732837200164795, 'mood change': 0.2159104198217392, 'body pain': 0.10369990020990372}"
353,"Charlie woke up vomiting, dizzy, confused, and unable to walk. I called the ambulance straight away and we took him in. It turns out he had internal bleeding and was losing blood","bleeding, vomiting, dizziness","['vomiting, dizzy, confused, and unable to walk.', 'vomiting,', 'charlie', 'it turns out he had internal bleeding', 'he had internal bleeding and was losing blood', 'he had internal bleeding', 'internal bleeding']","{'bleeding': 0.8829033970832825, 'vomiting': 0.6277654767036438, 'dizziness': 0.17992308735847473, 'mood change': 0.14087988436222076, 'hiccups': 0.11109821498394012}"
153,I think I ate something that produced a lot of gas and now I feel like I have acute pain in my stomach,body pain,"['now i feel like i have acute pain in my stomach', 'acute pain', 'in my stomach', 'acute pain in my stomach']",{'body pain': 0.9507468938827515}
98,This morning we went for a walk outside but it was so hot and sunny and I think the heat really got to Aidan. He's been tired and moody ever since. He may be dehydated but Im not sure,"fatigue, mood change","['it was so hot and sunny', 'he may be dehydated', 'heat', ""he's been tired and moody""]","{'fever': 0.4390423893928528, 'mood change': 0.4216585159301758, 'fatigue': 0.3447928726673126, 'racing heart': 0.21856705844402313, 'lack of concentration': 0.1611473709344864, 'lack of sleep': 0.13407044112682343}"
193,I got no sleep last night. Im so scared jack and I might get a divorce and its devastating me,"lack of sleep, mood change","['no sleep last night.', 'no sleep']","{'lack of sleep': 0.7308077812194824, 'fatigue': 0.21457764506340027}"
441,Symptoms? Let's see. Nothing out of the ordinary. Just like most other days they started getting a headache a few minutes before their seizures started.,headache,"['nothing out of the ordinary.', 'headache', 'they started getting a headache', 'they started getting a headache a few minutes before their seizures started.']","{'headache': 0.5769352912902832, 'body pain': 0.3007994294166565, 'hiccups': 0.12272945046424866, 'fatigue': 0.11193621158599854, 'dilated pupils': 0.10087442398071289}"
64, I felt moody and angry with my parents as I started to get nauseas and lightheaded in the morning,mood change,"['angry with my parents', 'angry', 'lightheaded', 'moody and angry', 'nauseas and lightheaded', 'nauseas', 'nauseas and lightheaded in the morning']","{'mood change': 0.7493166923522949, 'dizziness': 0.4216017425060272, 'vomiting': 0.24613574147224426, 'fatigue': 0.22678743302822113, 'racing heart': 0.2250688523054123, 'hiccups': 0.1925724595785141, 'body pain': 0.14390303194522858, 'sore throat': 0.13029153645038605, 'appetite change': 0.10741729289293289}"
379,lily got hiccups while eating. I find that if I give her lettuce with the meal the Hiccups are reduced and often stopped altogether,hiccups,"['lily got hiccups', 'reduced', 'lily', 'lettuce', 'lily got hiccups while eating.', 'if i give her lettuce with the meal']","{'hiccups': 0.5433374643325806, 'dilated pupils': 0.28277361392974854, 'mood change': 0.18702106177806854, 'appetite change': 0.17058663070201874, 'cough': 0.15212680399417877, 'poor coordination': 0.1310560703277588, 'lack of concentration': 0.11783266067504883}"
315,"Today again I had another palpitation. It feels like skipped beats, fluttering sensation, flip flopping and racing. It is scary.",racing heart,"['it is scary.', 'it feels like skipped beats,', 'it feels like skipped beats, fluttering sensation,', 'skipped beats, fluttering sensation, flip flopping and racing.', 'today again i had another palpitation.', 'skipped beats,', 'it feels like skipped beats, fluttering sensation, flip flopping and racing.', 'today again i had another palpitation. it feels like skipped beats,']","{'racing heart': 0.6919603943824768, 'body pain': 0.385236531496048, 'anxiety': 0.38409337401390076, 'hiccups': 0.3248901665210724, 'poor coordination': 0.25432971119880676, 'dizziness': 0.15769942104816437, 'mood change': 0.1429075002670288, 'lack of concentration': 0.1117081344127655}"
246,lily was so scared after we watched a horror movie she didn’t sleep at all last night,lack of sleep,"['lily was so scared', 'horror movie she didn’t sleep', 'she didn’t sleep at all last night', 'didn’t sleep at all last night', 'lily']","{'lack of sleep': 0.5488704442977905, 'dilated pupils': 0.28277361392974854, 'anxiety': 0.26949790120124817, 'mood change': 0.24871303141117096, 'fatigue': 0.16331008076667786, 'racing heart': 0.1193690299987793, 'lack of concentration': 0.1030014231801033}"
46,"I have been having some (actually a lot) of muscle pain and some cramping.  I asked my Dr. re this
 and he didn’t give me an answer. It is so nice to know that I’m not the only one. ",body pain,"['he didn’t give me an answer.', 'not the only one.', 'some cramping.', 'some (actually a lot) of muscle pain and some cramping.', 'muscle pain and some cramping.']","{'body pain': 0.9397373199462891, 'hiccups': 0.46617311239242554, 'poor coordination': 0.19561779499053955, 'mood change': 0.13523846864700317}"
309,"Its kiaras third day of school and finally she doesn’t get nervous or stressed in the morning before we leave. I did notice that we woke up with a headache today though, I don’t think she slept very well","lack of sleep, headache","['headache', 'we woke up with a headache today', 'kiaras', 'we woke up with a headache', 'she doesn’t get nervous or stressed in the morning before we leave.', 'i don’t think she slept very well']","{'headache': 0.5494412183761597, 'lack of sleep': 0.47138267755508423, 'mood change': 0.36472755670547485, 'body pain': 0.3007994294166565, 'lack of concentration': 0.1950504332780838, 'racing heart': 0.16002421081066132, 'skin rash': 0.15689921379089355, 'hiccups': 0.12272945046424866, 'fatigue': 0.11193621158599854}"
106,"I have been experiencing constipation for three days now. I have no appetite and my
stomach feels tight.",appetite change,"['my stomach feels tight.', 'no appetite', 'constipation']","{'body pain': 0.6606445908546448, 'congestion': 0.3290211260318756, 'hiccups': 0.2713871896266937, 'appetite change': 0.2093995213508606, 'mood change': 0.2012377232313156, 'lack of concentration': 0.16202254593372345}"
175,I think we might have budget cuts at work scared that they might affect me. Im trying not to get stressed but its really hard to keep calm,anxiety,"['budget cuts', 'hard to keep calm', 'its really hard to keep calm', 'budget cuts at work scared that they might affect me.', 'budget cuts at work', 'we might have budget cuts at work']","{'bleeding': 0.48248693346977234, 'anxiety': 0.36392784118652344, 'lack of concentration': 0.3294086456298828, 'hiccups': 0.22340047359466553, 'mood change': 0.21668730676174164, 'racing heart': 0.1591659039258957, 'poor coordination': 0.10010366886854172}"
