,Sentence,Tags
360,"I experienced hiccups while holding breath and sneezed in unison; funny but true. After that instance, I felt a
chest pain in my sternum rating a 5/10 scale. That’s how bad it was. My hiccups were relieved by the way.","body pain, hiccups"
236,robs been having nightmares for the past few nights so I don’t think he's slept well,lack of sleep
65,"I feel very foggy headed, irritable, nauseated and in some cases, the headache pain is so excruciating, it is frightening","lack of concentration, mood change, headache"
262,I woke up this morning with an itch in my throat,sore throat
313,Lily started experiencing palpitations again this evening. She bent over to pick something up and that’s when they started,racing heart
94,I played football last night and when I woke up this morning my legs were really aching and I was just feeling so tired so I tried to wake myself up by taking a cold shower,"body pain, fatigue"
444,Most of the day was going well but then around dinner time they started developing headaches. Nothing too intense but not quite mild either.,headache
284,robs cough seems to be hurting his throat as well now. He has lots of mucus in his cough and his throat is in pain,"congestion, cough, sore throat"
362,"I've had hiccups on and off for at least 12 to 18 hours now. They come for about an hour or two and then leave,
but continue to return. I'm in bed now and they've just gone away, I'm hoping they don’t interfere with my sleep now",hiccups
341,"charlie was coughing a lot earlier today and it wasn’t just mucus coming out, there was blood too","bleeding, congestion, cough"
160,this evening rileys right leg seemed to be cramping up a lot after he took a shower,body pain
376,I randomly hiccup or have loud hiccup-like burps usually two or three at a time for no reason,hiccups
41,I don’t know why this fever has lasted seven days but I still have it and I still cant taste anything,"appetite change, fever"
165,tom seemed stressed this morning - jack and I have been fighting more than usual and I think its stresssing tom out,mood change
436,"The first half of the day was good with no symptoms observed. In the evening, they had a slight fever, but it began reducing again in the night. Nothing to worry about for now.",fever
317,It honestly feels like I am going to pass out and die when I get palpitations. It happened this afternoon and everything around me is like slow motion and I can feel my heart,racing heart
448,"They had some headaches here and there today but nothing major. Actually, they were feeling pretty good overall today. It was only really the headaches in the morning that were kind of bad. When I asked how bad it hurt they said it definitely was painful but not as bad as usual so I guess we can say they were moderate headaches.",headache
72,"The aura symptoms of a migraine make me extremely vulnerable and can be temporarily disabling.
Over the course of three or four hours (depending on the intensity of my attack) I experience a variety of neurological symptoms which include: visual disturbances, inability to speak, and loss of sensitivity on parts of your body such as your face, your arms and your hands.",headache
418,"Another day, another attempt at symptom tracking. Let's see, today I think the only one I can think of is fatigue. They were feeling moderately low energy for most of the day starting around 3 pm. It was maybe about 30 minutes later when had a seizure and then they were pretty exhausted for the rest of the day. They seemed pretty bummed so I got some of their favorite ice cream to help cheer them up a little and hopefully bring back some energy. Just like any other kid, they had a spike in energy from the sugar for maybe 10 minutes and then got so tired they went to sleep. I'll be sure they brush their teeth before it's their actual bed time.","fatigue, mood change"
90,Mum and dad were going for lunch and I wanted to go out with them I really did but I just felt like I had no energy to do it,fatigue
252,the sleep medication that ericas doctor provided helped last night which gives me some relief. She's had a cough today though,cough
148,Aidan went for a short run but fell in the middle and couldn’t run any more because he said his leg was completely cramping up and he couldn’t move,body pain
348,charlie had a nose bleed this afternoon for about 15 minutes,bleeding
282,lilys throat has slowly gotten worse through the day,sore throat
421,"It was a very hectic day. I had back to back office meetings scheduled. Then around four pm, I received a call from their school mentioning they have high fever, so I drove there immediately. I brought them back and gave them some medicine. They were not able to sleep for a long time, so I was just reading a story to them. They finally slept an hour ago. I feel very sorry for my child’s discomfort. I just hope tomorrow will be a better day with no fever. Alright, I need to go now and finish up on some work.","fever, lack of sleep"
113,"I have been diagnosed with acute sinusitis and given a prescription for nasal
steroid spray and an antibiotic, which I have been on for four days, still get symptoms on an off during the day. I have had symptoms for eight days.",congestion
7,"I had a relatively calm few hours at the start of my day, until in the middle of my shift, when I leaned to my left side,
and turned my head a bit to the left, that I was aware of my heart rate. I sensed it through my throat. My heart rate was really fast.",racing heart
301,Tom's cough is better but his throat still seems sore. His voice is deeper than usual and sometimes it hurts him to swallow,sore throat
286,my throat is so sore I cant really eat or swallow properly. But im exhausted and I need food so this sucks,"fatigue, sore throat"
27,"I started getting random nausea and started vomiting about 4 weeks ago and today I had it again. Sometimes
when a wave of nausea hits I start sweating. I usually vomit first thing in the morning and when I wake up from a nap. It is usually dry heaves if I do not drink something",vomiting
221,lilys chest pain lasted for one hour today and it made me worried because that’s longer than what it usually is,body pain
334,there are some rashes and boils growing on charlies thigh. Its not worrying me too much right now but I need to monitor it,skin rash
63,"The same migraine I had yesterday is still going on. I experience 10-15/20 migraines a month and
its so hard to have a life with all this- doing school, making friends, its all just so much harder",headache
328,charlies been itching himself ever since we came back from the beach this evening. Maybe the sand or the humidity didn’t suit him too well. Well at least the cough he had yesterday is gone so thank god,skin rash
353,"Charlie woke up vomiting, dizzy, confused, and unable to walk. I called the ambulance straight away and we took him in. It turns out he had internal bleeding and was losing blood","bleeding, dizziness, lack of concentration, poor coordination, vomiting"
153,I think I ate something that produced a lot of gas and now I feel like I have acute pain in my stomach,body pain
98,This morning we went for a walk outside but it was so hot and sunny and I think the heat really got to Aidan. He's been tired and moody ever since. He may be dehydated but Im not sure,"fatigue, mood change"
193,I got no sleep last night. Im so scared jack and I might get a divorce and its devastating me,lack of sleep
441,Symptoms? Let's see. Nothing out of the ordinary. Just like most other days they started getting a headache a few minutes before their seizures started.,headache
64, I felt moody and angry with my parents as I started to get nauseas and lightheaded in the morning,"dizziness, mood change"
379,lily got hiccups while eating. I find that if I give her lettuce with the meal the Hiccups are reduced and often stopped altogether,hiccups
315,"Today again I had another palpitation. It feels like skipped beats, fluttering sensation, flip flopping and racing. It is scary.",racing heart
246,lily was so scared after we watched a horror movie she didn’t sleep at all last night,lack of sleep
46,"I have been having some (actually a lot) of muscle pain and some cramping.  I asked my Dr. re this
 and he didn’t give me an answer. It is so nice to know that I’m not the only one. ",body pain
309,"Its kiaras third day of school and finally she doesn’t get nervous or stressed in the morning before we leave. I did notice that we woke up with a headache today though, I don’t think she slept very well","headache, lack of sleep"
106,"I have been experiencing constipation for three days now. I have no appetite and my
stomach feels tight.","appetite change, body pain"
175,I think we might have budget cuts at work scared that they might affect me. Im trying not to get stressed but its really hard to keep calm,anxiety
411,The sun is shining and I haven't felt this good in weeks! Luckily it seems like my kid feels the same. They haven't had this much energy in a while. They are usually more tired but showed zero signs of fatigue throughout the entire day. I'm hoping this keeps up. The new prescription seems to be doing a good job lessening the seizures.,
35,"I have been having fever and pain since last two days and currently my mouth taste is virulent
and I have pain all over my body. My body temperature is not so high and pulse rate is normal, but I feel blood pressure is low.","appetite change, body pain, fever"
195,"eric seemed annoyed and angry at everyone today, it was difficult to handle",mood change
164,"ericas new tutor seems to be making her feel stressed out. The tutor is tougher than what ericas used to and I think that stresses erica out because she has
difficulty reading and writing",lack of concentration
361,"For the last one week or so hiccups have been waking me up in the middle of the night.
I will be sleeping and next thing I know I am hiccupping and it wakes me up. It doesn’t happen all the time, just enough to be irritating me, ugh","hiccups, lack of sleep"
194,eric woke up seeming happy but then became so hyper active and aggressive one hour later,mood change
146,My cramps have gotten worse every day of this week,body pain
203,in the middle of lunch today lily suddenly started holding her chest and went to lie down,body pain
23,My stomach felt so gassy today and it made me burp so much. I felt a bit nauseas but really it was the burping that was annoying,
266,frank seemed completely fine this morning but just two hours ago he developed an intense migraine and feels nauseas,headache
118,"I have pain through my shoulder through to my chest, neck stiffness and blocked nose from my sinus infection","body pain, congestion"
406,"Earlier they seemed to have a lot of energy but then the fatigue set in around noon. It wasn't that intense though, pretty mild honestly.",fatigue
445,I feel like their headaches come in waves every few days. Yesterday was totally fine but today was another peak in the wave with a series of headaches leading up to an epileptic episode around lunch time. Thankfully the headaches were pretty mild.,headache
42,The fever I have is making me feel exhausted. I've been cranky all morning and the tylenol isnt helping ,"fatigue, fever, mood change"
132,"I have a lot of pressure in the back of the eyes and bad headache from a sinus infection, and nothing is working. I’m very sore","body pain, congestion, headache"
244,eric was so stressed and anxious about school today that he didn’t sleep at all last night,lack of sleep
122,"the muscles ached... every muscle; and my body is just so tired, plus my ears are stopped up and my nose. So much congestion","body pain, congestion, fatigue"
432,Their temperature was slightly warm in the morning. Later in the day I measured it again and the temperature had risen.,fever
222,"eric started to have a panic attack a couple of hours ago and it was bad- he was sweating, had a tight chest and almost hyperventilating","anxiety, mood change, racing heart"
290,"my head hurts and my throat is sore, im pretty sure im getting a cold","headache, sore throat"
196,sophie threw another tantrum this afternoon and this one had so much shrieking it was awful,mood change
454,"Nothing unusual today. Just like most other days, the day started off fairly smooth with everyone feeling pretty good in the morning, especially after having breakfast! I wish we could have waffles for every meal. They really seem to be a favorite for the kids. Right, but as I was saying, things were going well and we all got started on our day. Since it's a weekday, we started home school lessons around 10 and kept going from there. Lunch was also totally fine and they finally ate their vegetables without me having to remind them. It was a bit after when they started to have their typical series of headaches. Today they were pretty moderate. Luckily the headaches didn't last very long so we were able to move on with the rest of the day fairly quickly.",headache
149,Ever since she started this new medicine her stomach cramps seem worse she had cramps for three hours today,body pain
389,"lily got a sudden burst of dizziness this afternoon and her pupils dilated. She couldn’t see properly either.
It was really scary but it went in 5 minutes","dilated pupils, dizziness"
349,charlies nose finally stopped bleeding but ever since hes just seemed exhausted all evening,"bleeding, fatigue"
329,"Eric's eczema has been getting worse over the past few days. Im not sure whats causing it but its become much more red and he seems much more itchy. I've tried to put aloevera cream and it sooths it
a bit but not too much",skin rash
209,lilys had difficultly breathing for the last hour and its stressing me out,
198,sophie cried a lot today when her friend left to go on holiday. She seems really sad about it,mood change
48,I felt lightheaded after my lunch and that lasted for about two hours. The room felt dizzy at one point but only for a few minutes,dizziness
369,ive had hiccups on and off for the past 6 hours. It doesn’t hurt but its just annoying,hiccups
429,"Well, today was no different from the past couple of days. They still have high fever. The doctor told me to visit him if the fever did not reduce in two days. So, I will take them to the clinic this evening. Let us see what the doctor has to say.",fever
89,"I slept all morning today because I was just too tired to get out of bed, I think getting up so early may have messed up my routine for the day though because I felt so groggy all day",fatigue
251,I really hope erica sleeps better tonight. Shes been having difficulty sleeping for the last one week and im not sure why,lack of sleep
53,"Tommy’s migraines would make him nauseated, cause him to throw up
and leave him sick in bed for several days","headache, vomiting"
306,"charlies finally seems to have calmed down and is no longer experiences palpitations. I think the whole episode really drained his energy though, so hes been sleeping for the past few hours",fatigue
36,"My daughter had to go to the emergency room (ER) due high fever and the ER nurse
requested adult rectal temperature taken by nurse. She stayed in the hospital due serious fever. Two day later she was discharged from the hospital.",fever
204,because of everything going on I got really anxious today but this time my chest also started to get really tight and it felt like I couldn’t breathe,anxiety
300,"Tom started to have a panic attack earlier today and his heart was racing. I was really worried and tried to find anything to calm him down.
Finally some TV shows, ice cream and soft music helped","anxiety, racing heart"
15,"I was at a little league game yesterday and had a hot dog from the snack shack.
Soon after, I felt my head spinning (vertigo) and malaise. I walked around thinking that my sugar may have gone up ",dizziness
258,we had such a busy week because my parents visited we hardly had time to sleep,lack of sleep
298,"lauras fever is still continuing, shes had shivers and chills all day",fever
414,"Oh they've been absolutely exhausted all day. Surprisingly they haven't had any seizures yet but I'm expecting at least one before they go to bed for tonight. Although they were too tired to really do much today, they seemed to be in a good mood. We just watched some of their favorite shows while I was sorting out some bill payment issues.",fatigue
356,im so thankful that the blood isnt in lisas urine anymore. Shes been really low on energy this past week but at least the blood is gone and she seems healthier,fatigue
372,"I don’t have hiccups, but I do have this heavy cough now which has some mucus in it","congestion, cough"
33,"I have recently been recovering from what was diagnosed as pneumonia, and yesterday noticed my fever had returned. Last night and today it was at 36.9 centigrade, and not moving up or down. Diarrhea is constant and greenish, very dark.","diarrhea, fever"
217,when jack went to check up on lily two hours ago he noticed she was holding her chest as if she was in pain,body pain
184,I want to meditate with katie to help reduce her stress and anxiousness. Today she seemed so worked up all day I couldn’t do anything to calm her down,anxiety
394,last night was the first night charlie spent at home discharged from the hospital after his concussion. His eyes were dilated at times but apart from that he seemed ok,dilated pupils
188,I feel like I cant control my stress. This morning out of the blue I got so stressed and it took hours to feel normal again,"anxiety, mood change"
161,sophie had her first period today and thankfully her cramps were only mild,"body pain, bleeding"
337,I just bought fucidin cream to apply for this rash tom has. I hope it goes away fast because hes been itching all day,skin rash
248,I slept amazingly well yesterday but I woke up with a terrible cough,cough
56,"When I wake up hung over or with a wine headache, I feel awful because
I just gave myself [a migraine], and it could have been avoided",headache
211,Lily started having a panic attack before we took her to the doctor today. She started hyperventilating and couldn’t breathe properly,racing heart
121,I have sinus pain and painful swelling in my face around my eyes and my head hurts from the sinus infection,"body pain, congestion, headache"
359,"toms had hiccups every day this week. Sometimes is one hiccup a day, sometimes 10, but they've been every day",hiccups
287,my colds getting worse and now my sore is becoming sore too,sore throat
293,"im feeling really tired and cold, I think I have a fever","fatigue, fever"
144,this month I feel like my period cramps are especially terrible,body pain
112,"My sinus headache occurs suddenly with pain above left eye,
top of head and back of neck, and the right eye swells also","body pain, headache"
218,"recently at work ive been getting so anxious that my chest gets tight, I choke up and I cant speak properly",anxiety
19,I was vomitng earlier today but it actually made me feel good and light after - a lot of people think that vomitting is something bad but I feel much better after I vomit,vomiting
219,I ran for one mile yesterday and at the end I was so out of breath and started to experience this pain in my chest,"body pain, congestion"
303,"Today we just went on a 5 minute walk and all of the sudden lily's heart rate spiked so much.
I'm not sure what could have caused it but we took her inside, cooled her down and thankfully it settled",racing heart
100,"My kid got serious constipation. After seeing the doctor she is relieved a bit, but
not for a long time",
192,mine and jack's relationship is falling apart and ive been crying all morning. Im behind at work now and stressed and i don’t know what to do,anxiety
69,today sam had a migraine and couldn’t see properly and he seemed so scared I felt bad for him and just wanted the migraine to go away,headache
47,After walking a bit today the muscles in my legs were hurting so much. I don’t know why I had so much pain but it was bad,body pain
59,I had a headache in the afternoon and thankfully my headaches don’t consume the entire day so Im better now,"headache, mood change"
304,"For some reason when lily walked up the stairs earlier today she was exhausted. She was out of breath, and her heart rate was racing. She felt like that for 30 minutes and I
I didn’t know what to do","racing heart, fatigue"
91,Charlie was more tired than usual today and I got a bit worried but then in the evening he seemed cheerful again,"fatigue, mood change"
114,"I went to the emergency room for a sharp pain in my head, had a CT scan and was told by the nurse
practitioner that I have sinusitis",headache
191,katie is stressed about an event they have at school tomorrow. I think she has social anxiety and its acting up,anxiety
214,because I was nervous and sad yesterday my chest felt tight when I was trying to sleep,"anxiety, body pain, lack of sleep"
4,"Lately I have been feeling like I am almost about to pass out or faint in addition to episodes of the nausea and racing heart beat.
I feel so overwhelmed and anxious I can't escape the situation. It sort of feels like my blood pressure goes down & up quickly and I feel I am not in control of my body.","anxiety, fatigue, racing heart"
368,"Hiccups for me are very painful, and none of the remedies work. They usually last about 30 minutes and then finally go away on
their own",hiccups
80,I still feel diarrhea and its embarassing to have to go to the bathroom so often. My stomach hurts and I can’t eat,"appetite change, body pain, diarrhea"
257,she seems emotionally stressed and isnt falling asleep at night- I see her blink often,"mood change, lack of sleep"
400,They were feeling really tired today. It was a bit worse than usual. They didn't even have enough energy to eat breakfast afterwards.,fatigue
170,"I've been really stressed recently and I think that’s impacting charlie - its almost like hes living my stress and he gets stressed when I get stressed. I try to be strong for him but work has been so difficult
recently its hard
",mood change
104,She says she feels like she has a rock in her stomach and cannot use the bathroom at all,body pain
285,"my throat feels like theres a golf ball in it, it hurts to swallow or speak at all","body pain, sore throat"
239,I couldn’t fall asleep for ages yesterday- I just kept tossing and turning in bed,lack of sleep
129,"I have sinus infection with dizziness, sore eyes, sore neck, fuzzy vision, and tiredness. I don’t know what can be causing this","body pain, dizziness, fatigue"
254,i think erica had troubling sleeping yesterday because we let her spend too much time in front of the computer and the tv during the day,lack of sleep
31,"I have been running a fever of unknown origin for three years now. Every single day it hits 100 degrees and over when I do normal things like get up, get dressed, make coffee, feed my pets, and wham! All it takes is for me to be on my feet for twenty minutes and I hit 100 degrees and over; every single day for over three years.",fever
415,"Usually it's a whole slew of symptoms but today it was mainly just fatigue that was setting in before any seizures. Although they just experienced fatigue today, the sheer number of seizures seemed to be much higher than usual. Luckily, these were all fairly smalll episodes but still it's a little concerning for it to happen so often. We think it's the new dosage for one of the prescriptions. We're not sure if having less symptoms but preventing seizures less is worth it. We'll think over what to do in the next few days before our next regularly scheduled appointment.",fatigue
139,I played outside this morning and had some cramps in my legs after but it wasn’t bad I think I was just thirsty,body pain
443,"Today was pretty awful. Not only were they having headaches every few hours, each one was pretty intense. It's been a while since they've had such severe headaches and so often too.",headache
182,"I noticed that tom was stressed, anxious and moody this morning","anxiety, mood change"
229,we were in the car earlier today when lily felt these stabbing pains in her chest and felt like she couldn’t breathe,congestion
342,there was even more blood in charlies coughs today than their was yesterday. The herbal tea and the medicines arent helping at all,"bleeding, cough"
143,I dont know how to get rid of these stomach cramps I am so sick of having them,body pain
319,lily had multiple episodes of palpitations last night. She woke up many times and I woke up each time with her. We were able to put her back to sleep after each but it was a rough night,"racing heart, lack of sleep"
413,"We're over at my sister's house for the weekend, taking some time to let the kids play with their cousins and some time for the adults to catch up. I was talking to my sis and lost track of time but realized a lot of time had passed when my kid sluggishly walked through the door asking if we could go home. I noticed they were looking pretty fatigued and worried they might have an episode soon so I let my sister know we would need some space and privacy. After my sister left the room, the seizure happened not too long after but luckily it wasn't a horrible one. The room was pretty comforting too with a lot of pillows and soft stuffed animals my kid could hold onto.",fatigue
395,for the last three days ive noticed that lillys eyes get dilated quite often. It doesn’t last long but its happened often so now its worrying me,dilated pupils
324,lilys been getting these weird pimples on her skin recently. They’re around her upper back area,skin rash
243,I couldn’t sleep until 4am last night and I had to wake up at 6 for school. Im exhausted,"lack of sleep, fatigue"
423,"They had a slight fever, but I am glad I did not have to give them any medicines today. I have been giving them too many medicines this week because they were having high fever, but I think it is finally beginning to work as the temperature has reduced. These medications sometimes have side effects like feeling drowsy or tired, so I really do not like to be giving medications unless it is absolutely necessary.","fatigue, fever"
159,This morning when eric woke up he seemed rather sad and anxious,"anxiety, mood change"
151,My leg hurt so much after the run I had cramps in my lower leg area for five minutes straight until my mum could give me electrolytes,body pain
166,we went to the doctor this morning and katie seemed stressed out for hours before we left. I think she sensed we were going and really doesn’t like the doctor,anxiety
187,my blood pressure was high and I felt unusually stressed this morning. I think its because things between rob and I aren’t going too well,
45,"My muscles ache, but I have fibromyalgia and osteo arthritis as well as epilepsy so it is extremely difficult to determine what is causing the pain",body pain
386,when lily woke up this morning her pupils seemed dilated and she looked really confused. I think maybe she was dizzy,"dilated pupils, dizziness, lack of concentration"
427,"I am ecstatic. Today was a great day after a week of having high fever. The fever has finally subsided now, and they are totally fine. Hoping for more days like this. Fingers crossed.",
145,I felt dehydrated and started having spasms all over my body. They werent terrible but they came and went for on hour,
228,before dinner today eric was complaining about these pangs in his chest - a mix of tightness and a squeezing sensation,body pain
367,"we just got back from holiday, tom caught some sort of bug that gave him a sore throat and made his hiccups come
 back even more aggressive","hiccups, sore throat"
280,rihannas nose seems really congested - shes gone through so many tissues and now her throat is starting to feel sore as well,"sore throat, congestion"
314,I started to feel my heart rate rise again today and quickly lay down and took deep breaths to stop the palpitations,racing heart
224,I woke up today with a shooting pain in my chest it was scary ,body pain
426,"So, symptoms for today, let me remember. They complained of not feeling well when I went to pick them up from school. I touched their forehead and it seemed a little warm. I measured their temperature after reaching home and they had a slight fever but everything else was fine.",fever
183,tom was really stressed and confused as we moved house today. I gave him some anti anxiety pills and it helped calm him down,"mood change, anxiety"
24,"I have had waves of nausea since yesterday. I lay down for a nap this morning
and woke up after an hour to find I had thrown up all over myself and the bed. I leaned over and threw up again. I haven't kept anything down since I woke up",vomiting
6,"My job is stressful at the moment and I feel constantly anxious that I have to check emails night and day,
I can't be without a job, I have to provide for my 2 kids.",anxiety
399,my fever is better today so I stopped taking anymore tylenol. Now im just doing salt water gargling to make my throat better,sore throat
231,eric had a fever but no cough or other symptoms,fever
207,we were going to go camping tomorrow but lily is having these chest pains right now and I don’t think it’s a good idea to go anymore,body pain
375,My husband has had hiccups for about 18 hours now on and off! It’s starting to worry me.,hiccups
86,"The diarrhea was shitty in the evening but then I took some medications and finally it got better. I got really dehydrated
as well so water was helpful",diarrhea
383,I woke up today feeling lightheaded and couldn’t really see properly. When I looked in the mirror my eyes seemed big and dilated too,"dilated pupils, dizziness"
227,"I've had weird sensations in my chest all day, kind of like a tight pain and then it goes
",body pain
123,"I don't have taste for food, and I am so thirsty and sleepy. It is awful. I feel crazy due to the congestion in my head, it would go away for a
little while and then come back. My eyes are swollen and red. Just plain miserable.","appetite change, congestion, fatigue"
344,"this morning there was blood in toms pee again. Im really concerned, even the doctor doesn’t know why",bleeding
330,eric's forearm was really red earlier today. Kind of like he had a rash,skin rash
410,"They were just extremely tired today. We thought the new prescription would help with this but it really didn't seem to make much of a difference. In fact, it might have made their fatigue worse. I think we're going to talk with the doctor about it on Friday to see if we can switch to something else. My can't really play with the others or do much else when they're so tired. I really just want the best for them.",fatigue
190,tom seemed nervous and stressed before he went to bed,anxiety
147,I woke up feeling fine but then two hours later I felt mild cramping of my neck which was unusal it went soon after though,body pain
296,"in addition to her fever, laura now has congested sinuses","congestion, fever"
156,Sometimes when I get period cramps they go in thirty minutes but today they lasted five hours and I started to throw up so much too it was such a painful day,"bleeding, body pain, vomiting"
16,"I have started getting frequent headaches. I don't know what a migraine feels like, but the other night was almost unbearable. I wake up and I'm vomiting masses of mucus. It is so upsetting in the mornings.","congestion, headache, vomiting"
111,"I feel extreme pressure on the left side of my face all the way into my brain, including my neck.
My sinus headache started with aches and a fever and then when that subsided I was left with this incredible pressure. I have taken extra strength Tylenol and smeared some Vicks under my nostrils to breathe that in and it is helping some","body pain, fever, headache"
397,"ive been so exhausted for the last three days for no reason. Getting out of bed in the morning even feels so difficult
",fatigue
390,lilys eyes just dilated and she totally lost her sense of balance. It was as if she was having some weird episode,"dilated pupils, poor coordination"
396,toms pupils were dilated for some time earlier this evening. He could have been having an absence seizure but I couldn’t tell,dilated pupils
3,"It was a case of going to bed, waking up and not being able to breathe. It scared me because breathing is a necessity of life",
25,"I have thrown up at least 10 times. I am prone to stomach flu and profuse vomiting and I have 2 to 3 random vomiting bouts a year, in addition. My muscles ache because I'm throwing up so much","body pain, vomiting"
278,erics throats is inflamed for the third time this month - I don’t know why he keeps on getting these throat issues,sore throat
180,tommy was so stressed before we took him to play football earlier today but thank god he's better now,
398,lillys had no energy for the last 24 hours. She been cranky and throwing tantrums but has just refused to leave bed or move,fatigue
374,"The hiccup suddenly started and lasted for about two hours. I'd taken water as the traditional home remedy, to no avail.
Then I took some mouthful of honey and after a short while it subsided",hiccups
456,Today was the first day on a new set of medication and wow yes did it make a difference! Usually by now they would've had maybe two or three headaches but so far as of 8 pm they've only had one mild headache. I know that probably doesn't like much but that's a huge improvement especially because the intensity has gone down. I'm really hoping this keeps up and it's not just because of the transition from one medication to the next.,headache
412,"I have to be really quiet right now because they're sleeping right across the room. After what seemed like half an hour or so of severe fatigue, they had a small series of seizures and immediately wanted to lay down to rest. They were already tired before so they were barely able to make it over to the bed before falling right asleep.",fatigue
206,sophie complained of not being able to breathe and having a tight chest earlier today and im so scared that she may have covid,"body pain, congestion"
66,"The hardest part of dealing with migraine, even more so than dealing with
the pain and vomiting, is explaining how you feel. I just felt shitty today","headache, vomiting, body pain"
271,we sang songs in the car yesterday but now eric seems to have lost his voice and has a sore throat,sore throat
449,"There were a lot of fireworks going off last night because of the holiday so I feel we all had some headaches from all the loud noises while we were trying to sleep last night. It was particularly bad for the kid though. Their headaches seemed pretty severe in the morning. After they started having seizures around noon, we figured it wasn't just the loud noises from last night that was causing them pain.",headache
354,Charlie broke his ankle last week and we just learnt that the broken bone ruptured an artery and is causing internal bleeding. He's in the hospital still right now,bleeding
323,Finally lilys heart rate is back down to normal. Her throat has been sore ever since the event though,sore throat
241,My brain doesn't ever shut down and I can't even nap. I never get tired so I cant rest or sleep,lack of sleep
83,Today I just landed in Milan and the travel and change in food is making my stomach and poop go for a toss,appetite change
130,"I have a bad smell in my nose, bad taste in my mouth, head pressure and lost voice.","headache, sore throat"
9,"I'm susceptible to stomach flu and I've been vomitting profusely and
repeatedly for 2 or 3 days and can't keep anything down. Once my stomach is empty, I try water or ginger ale, so I will have something to throw up, as that is the only relief",vomiting
391,during lunch lily suddenly became faint. She was unresponsive and her pupils were dilated. My wife chucked cold water on her and thankfully that snapped her out of it but it was so scary,dilated pupils
134,"My cough comes for two days, then goes away, and this has been going on for over a year. I have green mucus also","cough, congestion"
109," I was informed that an ex-colleague of mine will become one of my colleagues again.
She really hurt me in the past and now she follows me to my new work. I can’t get a grasp of why I can’t stand her, but what i do know for sure is that just the thought of her stresses me out, makes me anxious and I don’t want her in my life",anxiety
40,The fever isnt going down its still 101 and I feel so shitty,fever
115,I have sinus headache behind the right eye and I need relief,headache
172,lily seemed really stressed out today after she came back from playing with one of her friends. Im scared the friend is bullying her,anxiety
335,charlies rashes have been getting worse every day this week. I need to take him to the doctor tomorrow,skin rash
124,I am having pain in my ear and my neck and I think it’s a sinus infection but I don’t know,body pain
458,"Things were going so well but then they started having moderate and then severe headaches about half way through the day. We started to get ready for a seizure event after the first headaches started but it wouldn't be for another hour or so until they started really developing severe headaches that the seizures would start. We called the doctor and were advised to increase the dosage of the pain medicine so we did that and it seemed to work after a while, but the poor kid still had some seizures.",headache
297,im really worried about laura because shes hardly been sleeping the last few nights. Im praying this doesn’t trigger a seizure,lack of sleep
402,It's been a really rough day. They were more fatigued than usual and because of that it was hard to get them to cooperate in the littlest of things. I've never seem them so tired before.,fatigue
167,eric seems unusually stressed out this evening - its probably because were travelling tomorrow and planes scare him,anxiety
136,My right eye hurts like someone is inside trying to push it out. I'm fatigued and my eye is swollen,"fatigue, body pain"
